Year,Rank
ÿ1948,34
ÿ1952,30
ÿ1956,14
ÿ1960,27
ÿ1964,34
ÿ1968,19
ÿ1972,28
ÿ1976,33
ÿ1988,36
ÿ1992,44
ÿ1996,43
ÿ2000,27
ÿ2004,29
ÿ2008,51
ÿ2012,15
ÿ2016,
